French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
demande,request
mois,month
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
chaque,each
arrivé,come
longtemps,long time
heures,hours
pendant,while
place,square
parle,speak
étaient,were
attention,Warning
pourrais,could
donner,give
type,type
leurs,their
donné,given
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
première,first
côté,side
pouvoir,power
tiens,here
matin,morning
enfant,child
point,point
venu,came
suite,after
venez,come
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
nouvelle,new
fin,end
croire,believe
chérie,sweetheart
bureau,office
